"","sensor","time","pm_1","pm_25","pm_10","location","day","sen","build_age","direction"
"397",3,363727,20,33,45,"in","Tuesday","03","new","east"
"398",3,364641,22,35,45,"in","Tuesday","03","new","east"
"399",3,365553,21,35,45,"in","Tuesday","03","new","east"
"400",3,366466,22,36,46,"in","Tuesday","03","new","east"
"401",3,367378,21,35,47,"in","Tuesday","03","new","east"
"402",3,368290,21,35,48,"in","Tuesday","03","new","east"
"403",3,369203,22,36,49,"in","Tuesday","03","new","east"
"404",3,370043,22,36,49,"in","Tuesday","03","new","east"
"405",3,370885,22,36,49,"in","Tuesday","03","new","east"
"406",3,371798,22,36,47,"in","Tuesday","03","new","east"
"407",3,372639,22,36,47,"in","Tuesday","03","new","east"
"408",3,373480,22,36,47,"in","Tuesday","03","new","east"
"409",3,374392,22,35,47,"in","Tuesday","03","new","east"
"410",3,375233,22,35,47,"in","Tuesday","03","new","east"
"411",3,376075,22,35,47,"in","Tuesday","03","new","east"
"412",3,376987,21,35,47,"in","Tuesday","03","new","east"
"413",3,377828,21,35,47,"in","Tuesday","03","new","east"
"414",3,378670,21,35,47,"in","Tuesday","03","new","east"
"415",3,379582,21,35,45,"in","Tuesday","03","new","east"
"416",3,380423,21,35,45,"in","Tuesday","03","new","east"
"417",3,381264,21,35,45,"in","Tuesday","03","new","east"
"418",3,382177,19,32,43,"in","Tuesday","03","new","east"
"419",3,383017,19,32,43,"in","Tuesday","03","new","east"
"420",3,383859,19,32,43,"in","Tuesday","03","new","east"
"421",3,384771,19,32,42,"in","Tuesday","03","new","east"
"422",3,385612,19,32,42,"in","Tuesday","03","new","east"
"423",3,386453,19,32,42,"in","Tuesday","03","new","east"
"424",3,387366,20,32,43,"in","Tuesday","03","new","east"
"425",3,388279,20,33,40,"in","Tuesday","03","new","east"
"426",3,389191,20,33,39,"in","Tuesday","03","new","east"
"427",3,390104,20,33,39,"in","Tuesday","03","new","east"
"428",3,391016,19,31,37,"in","Tuesday","03","new","east"
"429",3,391928,19,32,39,"in","Tuesday","03","new","east"
"430",3,392841,20,32,40,"in","Tuesday","03","new","east"
"431",3,393753,21,34,42,"in","Tuesday","03","new","east"
"432",3,394665,21,34,42,"in","Tuesday","03","new","east"
"433",3,395578,21,35,45,"in","Tuesday","03","new","east"
"434",3,396490,21,34,45,"in","Tuesday","03","new","east"
"435",3,397403,20,34,44,"in","Tuesday","03","new","east"
"436",3,398315,20,35,45,"in","Tuesday","03","new","east"
"437",3,399227,20,34,44,"in","Tuesday","03","new","east"
"438",3,400068,21,35,45,"in","Tuesday","03","new","east"
"439",3,400980,22,36,45,"in","Tuesday","03","new","east"
"440",3,401822,22,36,45,"in","Tuesday","03","new","east"
"441",3,402663,22,36,45,"in","Tuesday","03","new","east"
"442",3,403575,22,36,45,"in","Tuesday","03","new","east"
"443",3,404417,22,36,45,"in","Tuesday","03","new","east"
"444",3,405259,22,36,45,"in","Tuesday","03","new","east"
"445",3,406170,20,35,44,"in","Tuesday","03","new","east"
"446",3,407083,20,35,44,"in","Tuesday","03","new","east"
"447",3,407995,20,35,46,"in","Tuesday","03","new","east"
"448",3,408908,21,36,48,"in","Tuesday","03","new","east"
"449",3,409820,20,35,46,"in","Tuesday","03","new","east"
"450",3,410733,20,35,45,"in","Tuesday","03","new","east"
"451",3,411645,21,35,45,"in","Tuesday","03","new","east"
"452",3,412558,20,34,45,"in","Tuesday","03","new","east"
"453",3,413470,20,34,46,"in","Tuesday","03","new","east"
"454",3,414383,20,35,46,"in","Tuesday","03","new","east"
"455",3,415295,20,35,48,"in","Tuesday","03","new","east"
"456",3,416208,21,36,49,"in","Tuesday","03","new","east"
"457",3,417121,20,36,49,"in","Tuesday","03","new","east"
"458",3,417961,20,36,49,"in","Tuesday","03","new","east"
"459",3,418803,20,36,49,"in","Tuesday","03","new","east"
